
#   "251" UNIHAN

0xA9F3	0x7E61	# 繡 -- 251,363
0xA9F4	0x53DB	# 叛 -- 251,364
0xA9F5	0x5435	# 吵 -- 251,365
0xA9F6	0x5996	# 妖 -- 251,366
0xA9F7	0x54B1	# 咱 -- 251,367
0xA9F8	0x9022	# 逢 -- 251,370
0xA9F9	0x8896	# 袖 -- 251,371
0xA9FA	0x5F81	# 征 -- 251,372
0xA9FB	0x683D	# 栽 -- 251,373
0xA9FC	0x5339	# 匹 -- 251,374
0xA9FD	0x5DE1	# 巡 -- 251,375
0xA9FE	0x52A3	# 劣 -- 251,376
