
#   "315" UNIHAN

0xCDED	0x9AFD	# 髽 -- 315,355
0xCDEE	0x814A	# 腊 -- 315,356
0xCDEF	0x9D25	# 鴥 -- 315,357
0xCDF0	0x81F6	# 臶 -- 315,360
0xCDF1	0x81FA	# 臺 -- 315,361
0xCDF2	0x8218	# 舘 -- 315,362
0xCDF3	0x821B	# 舛 -- 315,363
0xCDF4	0x84E2	# 蓢 -- 315,364
0xCDF5	0x8278	# 艸 -- 315,365
0xCDF6	0x9BD5	# 鯕 -- 315,366
0xCDF7	0x7BFA	# 篺 -- 315,367
0xCDF8	0x9A66	# 驦 -- 315,370
0xCDF9	0x8350	# 荐 -- 315,371
0xCDFA	0x83C9	# 菉 -- 315,372
0xCDFB	0x83D3	# 菓 -- 315,373
0xCDFC	0x5807	# 堇 -- 315,374
0xCDFD	0x84A8	# 蒨 -- 315,375
0xCDFE	0x84AD	# 蒭 -- 315,376
