
#   "316" UNIHAN

0xCEEB	0x76F5	# 盵 -- 316,353
0xCEEC	0x778F	# 瞏 -- 316,354
0xCEED	0x789A	# 碚 -- 316,355
0xCEEE	0x7850	# 硐 -- 316,356
0xCEEF	0x54D6	# 哖 -- 316,357
0xCEF0	0x7BDC	# 篜 -- 316,360
0xCEF1	0x7BE2	# 篢 -- 316,361
0xCEF2	0x5E60	# 幠 -- 316,362
0xCEF3	0x7DDC	# 緜 -- 316,363
0xCEF4	0x7E60	# 繠 -- 316,364
0xCEF5	0x7F8B	# 羋 -- 316,365
0xCEF6	0x7FEA	# 翪 -- 316,366
0xCEF8	0x80FA	# 胺 -- 316,370
0xCEF9	0x9098	# 邘 -- 316,371
0xCEFA	0x823A	# 舺 -- 316,372
0xCEFB	0x824C	# 艌 -- 316,373
0xCEFC	0x8265	# 艥 -- 316,374
0xCEFD	0x825A	# 艚 -- 316,375
0xCEFE	0x8345	# 荅 -- 316,376
