0xBCF1	0x6D0A	# 洊 -- 274,361
0xBCF2	0x6D33	# 洳 -- 274,362
0xBCF3	0x6E4E	# 湎 -- 274,363
0xBCF4	0x7027	# 瀧 -- 274,364
0xBCF5	0x71F9	# 燹 -- 274,365
0xBCF6	0x72C3	# 狃 -- 274,366
0xBCF7	0x7317	# 猗 -- 274,367
0xBCF8	0x7350	# 獐 -- 274,370
0xBCF9	0x73B7	# 玷 -- 274,371
0xBCFA	0x73C2	# 珂 -- 274,372
0xBCFB	0x74A3	# 璣 -- 274,373
0xBCFC	0x74DE	# 瓞 -- 274,374
0xBCFD	0x7688	# 皈 -- 274,375
0xBCFE	0x7747	# 睇 -- 274,376
