"Marked","File Name","Folder","Size","Created","Modified","File type","Hash","Group","Hard-links","Artist","Title","Album","Length","Bit rate","Sample rate","Image width","Image height","Unused","ZipFlag"
0,"oldenglish10.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\eightbit\",1474,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",19,0,"","","","","","",,,,-1
0,"oldenglish18.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",3042,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",20,0,"","","","","","",,,,-1
0,"oldenglish18.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\eightbit\",3354,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",20,0,"","","","","","",,,,-1
0,"timesroman10.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",1506,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",21,0,"","","","","","",,,,-1
0,"timesroman10.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\eightbit\",2204,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",21,0,"","","","","","",,,,-1
0,"timesroman10.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\original\",1626,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",21,0,"","","","","","",,,,-1
0,"timesroman10.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\roundedwidths\",1366,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",21,0,"","","","","","",,,,-1
0,"timesroman10.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\thin\",1646,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",21,0,"","","","","","",,,,-1
0,"timesroman11.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",1714,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",22,0,"","","","","","",,,,-1
0,"timesroman11.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\eightbit\",2480,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",22,0,"","","","","","",,,,-1
0,"timesroman11.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\roundedwidths\",1522,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",22,0,"","","","","","",,,,-1
0,"timesroman12.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",2150,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",23,0,"","","","","","",,,,-1
0,"timesroman12.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\eightbit\",3092,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",23,0,"","","","","","",,,,-1
0,"timesroman12.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\original\",2038,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",23,0,"","","","","","",,,,-1
0,"timesroman12.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\roundedwidths\",1574,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",23,0,"","","","","","",,,,-1
0,"timesroman12.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\thin\",1730,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",23,0,"","","","","","",,,,-1
0,"timesroman13.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",2262,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",24,0,"","","","","","",,,,-1
0,"timesroman13.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\eightbit\",3204,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",24,0,"","","","","","",,,,-1
0,"timesroman14.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",2644,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",25,0,"","","","","","",,,,-1
0,"timesroman14.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\eightbit\",3728,"8/19/2020 3:57:19 PM","8/19/2020 3:57:19 PM",".strike","",25,0,"","","","","","",,,,-1
0,"timesroman14.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\original\",2482,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",25,0,"","","","","","",,,,-1
0,"timesroman14.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\roundedwidths\",2044,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",25,0,"","","","","","",,,,-1
0,"timesroman14.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\thin\",2194,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",25,0,"","","","","","",,,,-1
0,"timesroman16.strike","C:\Users\Larry\Desktop\medley\fonts\altofonts\",2790,"8/19/2020 3:57:20 PM","8/19/2020 3:57:20 PM",".strike","",26,0,"","","","","","",,,,-1
